onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	instructed_toOpenEyes	20	n/a	n/a	n/a
61.346	n/a	30673	surroundSuppB1_start	93	n/a	n/a	n/a
63.044	n/a	31522	fixpoint_ON	4	n/a	n/a	n/a
63.672	2.4	31836	stim_ON	8	1	0	2
69.002	n/a	34501	fixpoint_ON	4	n/a	n/a	n/a
69.522	2.4	34761	stim_ON	8	1	0.3	3
74.834	n/a	37417	fixpoint_ON	4	n/a	n/a	n/a
75.352	2.4	37676	stim_ON	8	1	0.6	1
80.664	n/a	40332	fixpoint_ON	4	n/a	n/a	n/a
81.182	2.4	40591	stim_ON	8	1	1	2
86.494	n/a	43247	fixpoint_ON	4	n/a	n/a	n/a
87.012	2.4	43506	stim_ON	8	1	0	3
92.324	n/a	46162	fixpoint_ON	4	n/a	n/a	n/a
92.842	2.4	46421	stim_ON	8	1	0.3	2
98.154	n/a	49077	fixpoint_ON	4	n/a	n/a	n/a
98.672	2.4	49336	stim_ON	8	1	0.6	1
103.984	n/a	51992	fixpoint_ON	4	n/a	n/a	n/a
104.502	2.4	52251	stim_ON	8	1	1	3
109.814	n/a	54907	fixpoint_ON	4	n/a	n/a	n/a
110.332	2.4	55166	stim_ON	8	1	0	2
115.644	n/a	57822	fixpoint_ON	4	n/a	n/a	n/a
116.162	2.4	58081	stim_ON	8	1	0.3	3
121.474	n/a	60737	fixpoint_ON	4	n/a	n/a	n/a
121.992	2.4	60996	stim_ON	8	1	0.6	1
127.304	n/a	63652	fixpoint_ON	4	n/a	n/a	n/a
127.83	2.4	63915	stim_ON	8	1	1	2
133.144	n/a	66572	fixpoint_ON	4	n/a	n/a	n/a
133.662	2.4	66831	stim_ON	8	0	0	3
138.974	n/a	69487	fixpoint_ON	4	n/a	n/a	n/a
139.492	2.4	69746	stim_ON	8	0	0.3	1
144.804	n/a	72402	fixpoint_ON	4	n/a	n/a	n/a
145.314	2.4	72657	stim_ON	8	0	0.6	2
150.624	n/a	75312	fixpoint_ON	4	n/a	n/a	n/a
151.134	2.4	75567	stim_ON	8	0	1	3
156.444	n/a	78222	fixpoint_ON	4	n/a	n/a	n/a
156.962	2.4	78481	stim_ON	8	1	1	1
162.274	n/a	81137	fixpoint_ON	4	n/a	n/a	n/a
162.792	2.4	81396	stim_ON	8	1	0.6	3
168.104	n/a	84052	fixpoint_ON	4	n/a	n/a	n/a
168.614	2.4	84307	stim_ON	8	1	0.3	2
173.924	n/a	86962	fixpoint_ON	4	n/a	n/a	n/a
174.444	2.4	87222	stim_ON	8	1	0	1
179.754	n/a	89877	fixpoint_ON	4	n/a	n/a	n/a
180.272	2.4	90136	stim_ON	8	1	1	1
185.584	n/a	92792	fixpoint_ON	4	n/a	n/a	n/a
186.102	2.4	93051	stim_ON	8	1	0.6	2
191.414	n/a	95707	fixpoint_ON	4	n/a	n/a	n/a
191.932	2.4	95966	stim_ON	8	1	0.3	3
197.244	n/a	98622	fixpoint_ON	4	n/a	n/a	n/a
197.762	2.4	98881	stim_ON	8	1	0	1
203.076	n/a	101538	fixpoint_ON	4	n/a	n/a	n/a
203.592	2.4	101796	stim_ON	8	0	0	2
208.904	n/a	104452	fixpoint_ON	4	n/a	n/a	n/a
209.422	2.4	104711	stim_ON	8	1	0	3
214.734	n/a	107367	fixpoint_ON	4	n/a	n/a	n/a
215.254	2.4	107627	stim_ON	8	0	0.3	1
220.564	n/a	110282	fixpoint_ON	4	n/a	n/a	n/a
221.094	2.4	110547	stim_ON	8	1	0.3	2
226.404	n/a	113202	fixpoint_ON	4	n/a	n/a	n/a
226.932	2.4	113466	stim_ON	8	0	0.6	3
232.244	n/a	116122	fixpoint_ON	4	n/a	n/a	n/a
232.762	2.4	116381	stim_ON	8	1	0.6	1
238.074	n/a	119037	fixpoint_ON	4	n/a	n/a	n/a
238.604	2.4	119302	stim_ON	8	0	1	2
243.914	n/a	121957	fixpoint_ON	4	n/a	n/a	n/a
244.424	2.4	122212	stim_ON	8	1	1	3
249.734	n/a	124867	fixpoint_ON	4	n/a	n/a	n/a
250.252	2.4	125126	stim_ON	8	1	1	1
255.564	n/a	127782	fixpoint_ON	4	n/a	n/a	n/a
256.082	2.4	128041	stim_ON	8	1	0.6	2
261.394	n/a	130697	fixpoint_ON	4	n/a	n/a	n/a
261.924	2.4	130962	stim_ON	8	1	0.3	3
267.234	n/a	133617	fixpoint_ON	4	n/a	n/a	n/a
267.752	2.4	133876	stim_ON	8	1	0	1
273.064	n/a	136532	fixpoint_ON	4	n/a	n/a	n/a
273.594	2.4	136797	stim_ON	8	1	1	1
278.904	n/a	139452	fixpoint_ON	4	n/a	n/a	n/a
279.434	2.4	139717	stim_ON	8	1	0.6	3
284.744	n/a	142372	fixpoint_ON	4	n/a	n/a	n/a
285.274	2.4	142637	stim_ON	8	1	0.3	2
290.584	n/a	145292	fixpoint_ON	4	n/a	n/a	n/a
291.114	2.4	145557	stim_ON	8	1	0	1
296.424	n/a	148212	fixpoint_ON	4	n/a	n/a	n/a
296.954	2.4	148477	stim_ON	8	0	0	3
302.264	n/a	151132	fixpoint_ON	4	n/a	n/a	n/a
302.794	2.4	151397	stim_ON	8	0	0.3	1
308.104	n/a	154052	fixpoint_ON	4	n/a	n/a	n/a
308.624	2.4	154312	stim_ON	8	0	0.6	2
313.934	n/a	156967	fixpoint_ON	4	n/a	n/a	n/a
314.464	2.4	157232	stim_ON	8	0	1	3
319.774	n/a	159887	fixpoint_ON	4	n/a	n/a	n/a
320.302	2.4	160151	stim_ON	8	1	0	1
325.614	n/a	162807	fixpoint_ON	4	n/a	n/a	n/a
326.144	2.4	163072	stim_ON	8	1	0.3	2
331.456	n/a	165728	fixpoint_ON	4	n/a	n/a	n/a
331.984	2.4	165992	stim_ON	8	1	0.6	3
337.294	n/a	168647	fixpoint_ON	4	n/a	n/a	n/a
337.824	2.4	168912	stim_ON	8	1	1	1
343.136	n/a	171568	fixpoint_ON	4	n/a	n/a	n/a
343.664	2.4	171832	stim_ON	8	1	0	2
