onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	instructed_toOpenEyes	20	n/a	n/a	n/a
64.196	n/a	32098	surroundSuppB1_start	93	n/a	n/a	n/a
65.892	n/a	32946	fixpoint_ON	4	n/a	n/a	n/a
66.52	2.4	33260	stim_ON	8	1	0	2
71.85	n/a	35925	fixpoint_ON	4	n/a	n/a	n/a
72.37	2.4	36185	stim_ON	8	1	0.3	3
77.682	n/a	38841	fixpoint_ON	4	n/a	n/a	n/a
78.198	2.4	39099	stim_ON	8	1	0.6	1
83.512	n/a	41756	fixpoint_ON	4	n/a	n/a	n/a
84.03	2.4	42015	stim_ON	8	1	1	2
89.342	n/a	44671	fixpoint_ON	4	n/a	n/a	n/a
89.858	2.4	44929	stim_ON	8	1	0	3
95.17	n/a	47585	fixpoint_ON	4	n/a	n/a	n/a
95.696	2.4	47848	stim_ON	8	1	0.3	2
101.012	n/a	50506	fixpoint_ON	4	n/a	n/a	n/a
101.528	2.4	50764	stim_ON	8	1	0.6	1
106.842	n/a	53421	fixpoint_ON	4	n/a	n/a	n/a
107.36	2.4	53680	stim_ON	8	1	1	3
112.672	n/a	56336	fixpoint_ON	4	n/a	n/a	n/a
113.19	2.4	56595	stim_ON	8	1	0	2
118.502	n/a	59251	fixpoint_ON	4	n/a	n/a	n/a
119.018	2.4	59509	stim_ON	8	1	0.3	3
124.332	n/a	62166	fixpoint_ON	4	n/a	n/a	n/a
124.86	2.4	62430	stim_ON	8	1	0.6	1
130.172	n/a	65086	fixpoint_ON	4	n/a	n/a	n/a
130.69	2.4	65345	stim_ON	8	1	1	2
136.002	n/a	68001	fixpoint_ON	4	n/a	n/a	n/a
136.52	2.4	68260	stim_ON	8	0	0	3
141.832	n/a	70916	fixpoint_ON	4	n/a	n/a	n/a
142.35	2.4	71175	stim_ON	8	0	0.3	1
147.662	n/a	73831	fixpoint_ON	4	n/a	n/a	n/a
148.18	2.4	74090	stim_ON	8	0	0.6	2
153.492	n/a	76746	fixpoint_ON	4	n/a	n/a	n/a
154.01	2.4	77005	stim_ON	8	0	1	3
159.322	n/a	79661	fixpoint_ON	4	n/a	n/a	n/a
159.84	2.4	79920	stim_ON	8	1	1	1
165.152	n/a	82576	fixpoint_ON	4	n/a	n/a	n/a
165.67	2.4	82835	stim_ON	8	1	0.6	3
170.982	n/a	85491	fixpoint_ON	4	n/a	n/a	n/a
171.498	2.4	85749	stim_ON	8	1	0.3	2
176.812	n/a	88406	fixpoint_ON	4	n/a	n/a	n/a
177.33	2.4	88665	stim_ON	8	1	0	1
182.642	n/a	91321	fixpoint_ON	4	n/a	n/a	n/a
183.168	2.4	91584	stim_ON	8	1	1	1
188.482	n/a	94241	fixpoint_ON	4	n/a	n/a	n/a
188.992	2.4	94496	stim_ON	8	1	0.6	2
194.302	n/a	97151	fixpoint_ON	4	n/a	n/a	n/a
194.82	2.4	97410	stim_ON	8	1	0.3	3
200.132	n/a	100066	fixpoint_ON	4	n/a	n/a	n/a
200.66	2.4	100330	stim_ON	8	1	0	1
205.972	n/a	102986	fixpoint_ON	4	n/a	n/a	n/a
